SoilType	Density	Identification	SoilModel	gammaUnsat	gammaSat	eInit	E50Ref	EOedRef	EURRef	PowerM	cRef	phi	psi	DilatancyCutOff	eMax	TensionCutOff	UseDefaults	K0NC	RF	GwUseDefaults	VoidRatioDependency	K0Determination	K0Primary	InterfaceStrengthDetermination	Rinter
SW	95.1	SW95	Hardening Soil	0.081597	0.083737	0.273809702	9077	3585	27231	0.6	0	48	18	TRUE	0.973705143	FALSE	FALSE	0.21	0.7	TRUE	FALSE	Manual	1.3	Manual	0.3
SW	90.4	SW90	Hardening Soil	0.077546	0.081373	0.340352	5880	2165	17640	0.43	0	42	12	TRUE	0.973705143	FALSE	FALSE	0.25	0.75	TRUE	FALSE	Manual	1.1	Manual	0.3
SW	85.0	SW85	Hardening Soil	0.072917	0.078671	0.425453714	3969	1366	11907	0.35	0	38	8	TRUE	0.973705143	FALSE	FALSE	0.25	0.8	TRUE	FALSE	Manual	0.9	Manual	0.3
SW	80.3	SW80	Hardening Soil	0.068866	0.076306	0.509303933	2752	1129	8256	0.35	0	36	6	TRUE	0.973705143	FALSE	FALSE	0.32	0.83	TRUE	FALSE	Manual	0.8	Manual	0.3
SW	61.4	SW61	Hardening Soil	0.052662	0.066849	0.973705143	437	428	1311	0.85	0	29	0	TRUE	0.973705143	FALSE	FALSE	0.52	0.9	TRUE	FALSE	Manual	0.5	Manual	0.3
ML	95.2	ML95	Hardening Soil	0.073495	0.077210	0.476118677	3396	1535	10188	0.4	4	34	4	TRUE	1.840410182	FALSE	FALSE	0.4	0.95	TRUE	FALSE	Manual	1.2	Manual	0.3
ML	90.0	ML90	Hardening Soil	0.069444	0.074945	0.5622256	1632	850	4896	0.26	3.5	32	2	TRUE	1.840410182	FALSE	FALSE	0.43	0.89	TRUE	FALSE	Manual	0.9	Manual	0.3
ML	85.5	ML85	Hardening Soil	0.065972	0.073003	0.644448	930	561	2790	0.25	3	30	0	TRUE	1.840410182	FALSE	FALSE	0.5	0.85	TRUE	FALSE	Manual	0.8	Manual	0.3
ML	80.2	ML80	Hardening Soil	0.061921	0.070738	0.75202871	662	463	1986	0.25	2.5	28	0	TRUE	1.840410182	FALSE	FALSE	0.53	0.8	TRUE	FALSE	Manual	0.7	Manual	0.3
ML	49.5	ML49	Hardening Soil	0.038194	0.057470	1.840410182	191	171	573	0.95	0	23	0	TRUE	1.840410182	FALSE	FALSE	0.61	0.55	TRUE	FALSE	Manual	0.5	Manual	0.3
CL	95.5	CL95	Hardening Soil	0.068866	0.071788	0.700426218	882	767	2646	0.45	9	15	0	TRUE	2.613405714	FALSE	FALSE	0.71	1	TRUE	FALSE	Manual	0.8	Manual	0.3
CL	89.9	CL90	Hardening Soil	0.064815	0.069690	0.806702857	584	516	1752	0.54	7	17	0	TRUE	2.613405714	FALSE	FALSE	0.65	0.94	TRUE	FALSE	Manual	0.6	Manual	0.3
CL	85.1	CL85	Hardening Soil	0.061343	0.067891	0.908969057	404	364	1212	0.6	6	18	0	TRUE	2.613405714	FALSE	FALSE	0.63	0.9	TRUE	FALSE	Manual	0.5	Manual	0.3
CL	80.2	CL80	Hardening Soil	0.057870	0.066092	1.0235072	291	276	873	0.66	5	19	0	TRUE	2.613405714	FALSE	FALSE	0.61	0.87	TRUE	FALSE	Manual	0.4	Manual	0.3
CL	44.9	CL45	Hardening Soil	0.032407	0.052900	2.613405714	147	132	441	0.95	0	23	0	TRUE	2.613405714	FALSE	FALSE	0.53	0.75	TRUE	FALSE	Manual	0.3	Manual	0.3
