Name	Load	Length	Width	x	y
HL93 Truck Axle	16000	10	20	0	-36
HL93 Truck Axle	16000	10	20	0	36
HL93 Tandem Axle	12500	10	20	-24	-36
HL93 Tandem Axle	12500	10	20	-24	36
HL93 Tandem Axle	12500	10	20	24	-36
HL93 Tandem Axle	12500	10	20	24	36
HL93 Truck 14 ft	4000	10	20	-168	-36
HL93 Truck 14 ft	4000	10	20	-168	36
HL93 Truck 14 ft	16000	10	20	0	-36
HL93 Truck 14 ft	16000	10	20	0	36
HL93 Truck 14 ft	16000	10	20	168	-36
HL93 Truck 14 ft	16000	10	20	168	36
HL93 Truck 30 ft	4000	10	20	-168	-36
HL93 Truck 30 ft	4000	10	20	-168	36
HL93 Truck 30 ft	16000	10	20	0	-36
HL93 Truck 30 ft	16000	10	20	0	36
HL93 Truck 30 ft	16000	10	20	360	-36
HL93 Truck 30 ft	16000	10	20	360	36
